id;name;host_id;host_name;distrito;barrio;room_type;price;minimum_nights;availability_365;superficie_km2;densidad_por_km2
1,02366E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · Half-bath;266598848;Jhonnatan;Latina;Puerta del Angel;Private room;40;1;85;138;2974855
1,02366E+18;casa particular in Madrid · ?New · 1 bedroom · 1 bed · 2 baths;258415229;Cidineia;Chamartín;Castilla;Private room;69;1;257;213;778967
1,02232E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 1 bath;123409494;César;Barajas;Timón;Entire home/apt;73;1;5;1640;67201
1,02234E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;544380311;Ines;Hortaleza;Piovera;Entire home/apt;220;1;269;314;460191
1,02367E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;213671081;Penta;Centro;Sol;Entire home/apt;124;1;154;45;1630444
1,02368E+18;Rental unit in Madrid · ?New · 3 bedrooms · 4 beds · 3 baths;217067249;Jorge;Centro;Sol;Entire home/apt;245;2;8;45;1630444
1,02236E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;130487204;Bernardo;Salamanca;Castellana;Private room;75;1;269;77;2209091
1,0237E+18;Rental unit in Madrid · ?5.0 · 1 bedroom · 1 bed · 1 bath;336862223;Glenda;Salamanca;Fuente del Berro;Entire home/apt;84;1;168;83;2481205
1,02515E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;217067249;Jorge;Centro;Palacio;Entire home/apt;228;2;244;146;1532329
1,02515E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;226793524;Beleco Sl;Centro;Palacio;Entire home/apt;140;3;44;146;1532329
1,02515E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1.5 baths;546596245;Reina Zulay;Carabanchel;Vista Alegre;Private room;122;1;269;163;2721227
1,02373E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;144132150;Home;Centro;Embajadores;Entire home/apt;100;2;343;103;4334563
1,02376E+18;Rental unit in Madrid · ?New · 3 bedrooms · 5 beds · 5 baths;23603298;HeimaHomes;Centro;Justicia;Entire home/apt;398;1;349;75;2186667
